"Valuation_Date";"Underlying";"Mid"
02/01/1990;"GBPEUR";1.359
03/01/1990;"GBPEUR";1.367
04/01/1990;"GBPEUR";1.357
05/01/1990;"GBPEUR";1.364
08/01/1990;"GBPEUR";1.36
09/01/1990;"GBPEUR";1.368
10/01/1990;"GBPEUR";1.376
11/01/1990;"GBPEUR";1.372
12/01/1990;"GBPEUR";1.377
15/01/1990;"GBPEUR";1.379
16/01/1990;"GBPEUR";1.38
17/01/1990;"GBPEUR";1.371
18/01/1990;"GBPEUR";1.383
19/01/1990;"GBPEUR";1.382
22/01/1990;"GBPEUR";1.386
23/01/1990;"GBPEUR";1.378
24/01/1990;"GBPEUR";1.372
25/01/1990;"GBPEUR";1.374
26/01/1990;"GBPEUR";1.377
29/01/1990;"GBPEUR";1.384
30/01/1990;"GBPEUR";1.375
31/01/1990;"GBPEUR";1.388
01/02/1990;"GBPEUR";1.385
02/02/1990;"GBPEUR";1.388
05/02/1990;"GBPEUR";1.384
06/02/1990;"GBPEUR";1.385
07/02/1990;"GBPEUR";1.381
08/02/1990;"GBPEUR";1.386
09/02/1990;"GBPEUR";1.389
12/02/1990;"GBPEUR";1.39
13/02/1990;"GBPEUR";1.39
14/02/1990;"GBPEUR";1.393
15/02/1990;"GBPEUR";1.4
16/02/1990;"GBPEUR";1.394
19/02/1990;"GBPEUR";1.401
20/02/1990;"GBPEUR";1.398
21/02/1990;"GBPEUR";1.401
22/02/1990;"GBPEUR";1.4
23/02/1990;"GBPEUR";1.401
26/02/1990;"GBPEUR";1.396
27/02/1990;"GBPEUR";1.396
28/02/1990;"GBPEUR";1.396
01/03/1990;"GBPEUR";1.397
02/03/1990;"GBPEUR";1.383
05/03/1990;"GBPEUR";1.366
06/03/1990;"GBPEUR";1.374
07/03/1990;"GBPEUR";1.371
08/03/1990;"GBPEUR";1.366
09/03/1990;"GBPEUR";1.351
12/03/1990;"GBPEUR";1.356
13/03/1990;"GBPEUR";1.352
14/03/1990;"GBPEUR";1.351
15/03/1990;"GBPEUR";1.35
16/03/1990;"GBPEUR";1.349
19/03/1990;"GBPEUR";1.338
20/03/1990;"GBPEUR";1.34
21/03/1990;"GBPEUR";1.34
22/03/1990;"GBPEUR";1.34
23/03/1990;"GBPEUR";1.344
26/03/1990;"GBPEUR";1.352
27/03/1990;"GBPEUR";1.361
28/03/1990;"GBPEUR";1.36
29/03/1990;"GBPEUR";1.361
30/03/1990;"GBPEUR";1.364
02/04/1990;"GBPEUR";1.359
03/04/1990;"GBPEUR";1.357
04/04/1990;"GBPEUR";1.362
05/04/1990;"GBPEUR";1.365
06/04/1990;"GBPEUR";1.359
