"Valuation_Date";"Underlying";"Mid"
02/01/1990;"GBPUSD";1.609
03/01/1990;"GBPUSD";1.61
04/01/1990;"GBPUSD";1.638
05/01/1990;"GBPUSD";1.635
08/01/1990;"GBPUSD";1.654
09/01/1990;"GBPUSD";1.657
10/01/1990;"GBPUSD";1.662
11/01/1990;"GBPUSD";1.659
12/01/1990;"GBPUSD";1.661
15/01/1990;"GBPUSD";1.656
16/01/1990;"GBPUSD";1.659
17/01/1990;"GBPUSD";1.653
18/01/1990;"GBPUSD";1.644
19/01/1990;"GBPUSD";1.645
22/01/1990;"GBPUSD";1.637
23/01/1990;"GBPUSD";1.656
24/01/1990;"GBPUSD";1.654
25/01/1990;"GBPUSD";1.66
26/01/1990;"GBPUSD";1.664
29/01/1990;"GBPUSD";1.68
30/01/1990;"GBPUSD";1.671
31/01/1990;"GBPUSD";1.678
01/02/1990;"GBPUSD";1.684
02/02/1990;"GBPUSD";1.683
05/02/1990;"GBPUSD";1.701
06/02/1990;"GBPUSD";1.703
07/02/1990;"GBPUSD";1.695
08/02/1990;"GBPUSD";1.694
09/02/1990;"GBPUSD";1.697
12/02/1990;"GBPUSD";1.693
13/02/1990;"GBPUSD";1.692
14/02/1990;"GBPUSD";1.695
15/02/1990;"GBPUSD";1.686
16/02/1990;"GBPUSD";1.699
19/02/1990;"GBPUSD";1.705
20/02/1990;"GBPUSD";1.712
21/02/1990;"GBPUSD";1.713
22/02/1990;"GBPUSD";1.713
23/02/1990;"GBPUSD";1.708
26/02/1990;"GBPUSD";1.693
27/02/1990;"GBPUSD";1.689
28/02/1990;"GBPUSD";1.676
01/03/1990;"GBPUSD";1.664
02/03/1990;"GBPUSD";1.647
05/03/1990;"GBPUSD";1.643
06/03/1990;"GBPUSD";1.647
07/03/1990;"GBPUSD";1.651
08/03/1990;"GBPUSD";1.64
09/03/1990;"GBPUSD";1.616
12/03/1990;"GBPUSD";1.612
13/03/1990;"GBPUSD";1.61
14/03/1990;"GBPUSD";1.611
15/03/1990;"GBPUSD";1.622
16/03/1990;"GBPUSD";1.619
19/03/1990;"GBPUSD";1.615
20/03/1990;"GBPUSD";1.6
21/03/1990;"GBPUSD";1.595
22/03/1990;"GBPUSD";1.604
