currency,value_date,fx_rate,daily_return
EUR,1990-01-02,1.359,
EUR,1990-01-03,1.367,0.005886681383370229
EUR,1990-01-04,1.357,-0.007315288953913646
EUR,1990-01-05,1.364,0.005158437730287568
EUR,1990-01-08,1.36,-0.0029325513196480912
EUR,1990-01-09,1.368,0.00588235294117645
EUR,1990-01-10,1.376,0.005847953216374213
EUR,1990-01-11,1.372,-0.0029069767441859407
EUR,1990-01-12,1.377,0.0036443148688045657
EUR,1990-01-15,1.379,0.001452432824981864
EUR,1990-01-16,1.38,0.0007251631617113397
EUR,1990-01-17,1.371,-0.006521739130434745
EUR,1990-01-18,1.383,0.00875273522975939
EUR,1990-01-19,1.382,-0.0007230657989878431
EUR,1990-01-22,1.386,0.0028943560057888007
EUR,1990-01-23,1.378,-0.005772005772005762
EUR,1990-01-24,1.372,-0.004354136429608024
EUR,1990-01-25,1.374,0.001457725947521915
EUR,1990-01-26,1.377,0.0021834061135370675
EUR,1990-01-29,1.384,0.005083514887436413
EUR,1990-01-30,1.375,-0.006502890173410325
EUR,1990-01-31,1.388,0.009454545454545382
EUR,1990-02-01,1.385,-0.002161383285302465
EUR,1990-02-02,1.388,0.0021660649819494893
EUR,1990-02-05,1.384,-0.0028818443804035088
EUR,1990-02-06,1.385,0.0007225433526012459
EUR,1990-02-07,1.381,-0.002888086642599319
EUR,1990-02-08,1.386,0.003620564808110016
EUR,1990-02-09,1.389,0.0021645021645022577
EUR,1990-02-12,1.39,0.0007199424046075986
EUR,1990-02-13,1.39,0.0
EUR,1990-02-14,1.393,0.0021582733812950394
EUR,1990-02-15,1.4,0.005025125628140614
EUR,1990-02-16,1.394,-0.004285714285714337
EUR,1990-02-19,1.401,0.0050215208034434244
EUR,1990-02-20,1.398,-0.0021413276231264655
EUR,1990-02-21,1.401,0.0021459227467812703
EUR,1990-02-22,1.4,-0.0007137758743754885
EUR,1990-02-23,1.401,0.0007142857142858894
EUR,1990-02-26,1.396,-0.0035688793718773315
EUR,1990-02-27,1.396,0.0
EUR,1990-02-28,1.396,0.0
EUR,1990-03-01,1.397,0.0007163323782235498
EUR,1990-03-02,1.383,-0.010021474588403745
EUR,1990-03-05,1.366,-0.012292118582791
EUR,1990-03-06,1.374,0.005856515373352966
EUR,1990-03-07,1.371,-0.0021834061135371785
EUR,1990-03-08,1.366,-0.003646973012399579
EUR,1990-03-09,1.351,-0.010980966325036645
EUR,1990-03-12,1.356,0.0037009622501851247
EUR,1990-03-13,1.352,-0.002949852507374673
EUR,1990-03-14,1.351,-0.0007396449704142327
EUR,1990-03-15,1.35,-0.0007401924500369805
EUR,1990-03-16,1.349,-0.0007407407407408195
EUR,1990-03-19,1.338,-0.008154188287620379
EUR,1990-03-20,1.34,0.001494768310911887
EUR,1990-03-21,1.34,0.0
EUR,1990-03-22,1.34,0.0
EUR,1990-03-23,1.344,0.0029850746268655914
EUR,1990-03-26,1.352,0.005952380952380931
EUR,1990-03-27,1.361,0.00665680473372765
EUR,1990-03-28,1.36,-0.0007347538574576928
EUR,1990-03-29,1.361,0.0007352941176470562
EUR,1990-03-30,1.364,0.0022042615723734116
